pilot_id,queue,source_path,testament,book_or_scope,title,drive_file_id,mime_type,preliminary_reference,duplicate_group,notes,source_url
DUP-001,DUPLICADOS_POSSIVEIS,01 - Antigo Testamento / 02 - Êxodo,AT,Êxodo,Êxodo 12:1–11 — Páscoa.doc,16fTrvr_jZYONAldsz2uVN5c2ggsTkMBl,application/msword,Êxodo 12:1–11,EXO-PASCOA-01,Mesmo título/referência de DUP-001B; tamanhos diferentes,https://drive.google.com/open?id=16fTrvr_jZYONAldsz2uVN5c2ggsTkMBl
DUP-002,DUPLICADOS_POSSIVEIS,01 - Antigo Testamento / 02 - Êxodo,AT,Êxodo,Êxodo 12:1–11 — Páscoa.doc,1sLDKGSzPnSQxCdrD8_CutRWwnMrhYEAB,application/msword,Êxodo 12:1–11,EXO-PASCOA-01,Mesmo título/referência de DUP-001A; tamanhos diferentes,https://drive.google.com/open?id=1sLDKGSzPnSQxCdrD8_CutRWwnMrhYEAB
DUP-003,DUPLICADOS_POSSIVEIS,01 - Antigo Testamento / 07 - Juízes,AT,Juízes,A Torre Forte.pdf,1FNXk1N2gskksvWQLMKuc4512xU0OEPXy,application/pdf,,JUI-TORRE-01,Possível versão PDF do mesmo estudo em DOC,https://drive.google.com/open?id=1FNXk1N2gskksvWQLMKuc4512xU0OEPXy
DUP-004,DUPLICADOS_POSSIVEIS,01 - Antigo Testamento / 07 - Juízes,AT,Juízes,A Torre Forte.doc,1U5H5tehlmYopaJepqwn1c5YpsRqLbmrN,application/msword,,JUI-TORRE-01,Possível versão fonte do PDF DUP-002A,https://drive.google.com/open?id=1U5H5tehlmYopaJepqwn1c5YpsRqLbmrN
DUP-005,DUPLICADOS_POSSIVEIS,01 - Antigo Testamento / 07 - Juízes,AT,Juízes,Juízes 6:12 — Gideão — versão 2.doc,1yRY9Y9hv2l3WXKkCb6ol0ymguCcaf4ak,application/msword,Juízes 6:12,JUI-GIDEAO-01,Comparar com Gideão - Jz6.12.doc,https://drive.google.com/open?id=1yRY9Y9hv2l3WXKkCb6ol0ymguCcaf4ak
DUP-006,DUPLICADOS_POSSIVEIS,01 - Antigo Testamento / 07 - Juízes,AT,Juízes,Gideão - Jz6.12.doc,1QBBOSb1N759w4-3QshtjIbOmMq-peV3V,application/msword,Juízes 6:12,JUI-GIDEAO-01,Comparar com versão 2,https://drive.google.com/open?id=1QBBOSb1N759w4-3QshtjIbOmMq-peV3V
DUP-007,DUPLICADOS_POSSIVEIS,02 - Novo Testamento / 42 - Lucas,NT,Lucas,Lucas 10:25–29 — E Quem É o Meu Próximo.doc,1zK-8xAHi8JIKg0bBghgfSSE7TXQ2hgLg,application/msword,Lucas 10:25–29,LUC-PROXIMO-01,Comparar com cópia de 2026-09-01,https://drive.google.com/open?id=1zK-8xAHi8JIKg0bBghgfSSE7TXQ2hgLg
DUP-008,DUPLICADOS_POSSIVEIS,02 - Novo Testamento / 42 - Lucas,NT,Lucas,E quem é o meu próximo - Lc10.25-29.doc,1IPG9WP6-WlA4B0RODq9W0toPwHt_-Y5m,application/msword,Lucas 10:25–29,LUC-PROXIMO-01,"Mesmo tema/referência, nome diferente",https://drive.google.com/open?id=1IPG9WP6-WlA4B0RODq9W0toPwHt_-Y5m
DUP-009,DUPLICADOS_POSSIVEIS,02 - Novo Testamento / 44 - Atos,NT,Atos,Êutico.doc,1Fze_uz_lWTL4XuaKFfG3fhso0CVXGjjB,application/msword,,ATO-EUTICO-01,Comparar com estudo com referência explícita,https://drive.google.com/open?id=1Fze_uz_lWTL4XuaKFfG3fhso0CVXGjjB
DUP-010,DUPLICADOS_POSSIVEIS,02 - Novo Testamento / 44 - Atos,NT,Atos,Êutico - At20.7-11.doc,1rsLe_r5-m6lpRojhPLbwcbYVOFdPaMXg,application/msword,Atos 20:7–11,ATO-EUTICO-01,Pode ser versão revisada de DUP-005A,https://drive.google.com/open?id=1rsLe_r5-m6lpRojhPLbwcbYVOFdPaMXg
DUP-011,DUPLICADOS_POSSIVEIS,02 - Novo Testamento / 45 - Romanos,NT,Romanos,O Sétimo Milênio.doc,1pitexQmV8vaE9J6Ly4lEsz9U1n5cTsai,application/msword,,ROM-MILENIO-01,Comparar conteúdo,https://drive.google.com/open?id=1pitexQmV8vaE9J6Ly4lEsz9U1n5cTsai
DUP-012,DUPLICADOS_POSSIVEIS,02 - Novo Testamento / 45 - Romanos,NT,Romanos,SÉTIMO MILÊNIO.doc,1xSNu2K6sgweOI-3H2jn5HaOvJx6iG053,application/msword,,ROM-MILENIO-01,"Mesmo título normalizado, tamanho diferente",https://drive.google.com/open?id=1xSNu2K6sgweOI-3H2jn5HaOvJx6iG053
